idiom,label,count
var_1C = dword ptr -1Ch  | * | var_14 = dword ptr -14h ,data,1
var_18 = dword ptr -18h  | * | var_10 = dword ptr -10h ,data,1
var_14 = dword ptr -14h  | * | var_C = dword ptr -0Ch ,data,1
var_10 = dword ptr -10h  | * | var_8 = dword ptr -8 ,data,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,2
"push rbp  | * | sub rsp, 20h ",xcode,2
"mov rbp, rsp  | * | lea rax, _use ",xcode,1
"sub rsp, 20h  | * | lea rcx, _q ",xcode,1
"lea rax, _use  | * | mov [rbp+var_4], edi ",xcode,1
"lea rcx, _q  | * | mov [rbp+var_8], esi ",xcode,1
"mov [rbp+var_4], edi  | * | mov [rbp+var_C], edx ",xcode,1
"mov [rbp+var_8], esi  | * | mov edx, [rbp+var_C] ",xcode,1
"mov [rbp+var_C], edx  | * | movsxd r8, [rbp+var_8] ",xcode,1
"mov edx, [rbp+var_C]  | * | movsxd r9, [rbp+var_4] ",xcode,1
"movsxd r8, [rbp+var_8]  | * | imul r9, 5DC4h ",xcode,1
"movsxd r9, [rbp+var_4]  | * | add rcx, r9 ",xcode,1
"imul r9, 5DC4h  | * | mov [rcx+r8*4], edx ",xcode,1
"add rcx, r9  | * | mov edx, cs:_ct ",xcode,1
"mov [rcx+r8*4], edx  | * | movsxd rcx, [rbp+var_8] ",xcode,1
"mov edx, cs:_ct  | * | movsxd r8, [rbp+var_4] ",xcode,1
"movsxd rcx, [rbp+var_8]  | * | imul r8, 5DC4h ",xcode,1
"movsxd r8, [rbp+var_4]  | * | add rax, r8 ",xcode,1
"imul r8, 5DC4h  | * | mov [rax+rcx*4], edx ",xcode,1
"add rax, r8  | * | mov [rbp+var_10], 0 ",xcode,1
"mov [rax+rcx*4], edx  | * | loc_100000CEA:  ",xcode,1
"mov [rbp+var_10], 0  | * | cmp [rbp+var_10], 6 ",xcode,1
loc_100000CEA:   | * | jge loc_100000DD7 ,xcode,1
"cmp [rbp+var_10], 6  | * | lea rax, __ZL2dj  ",xcode,1
"jge loc_100000DD7  | * | lea rcx, __ZL2di  ",xcode,1
"lea rax, __ZL2dj   | * | mov edx, [rbp+var_4] ",xcode,1
"lea rcx, __ZL2di   | * | movsxd rsi, [rbp+var_10] ",xcode,1
"mov edx, [rbp+var_4]  | * | add edx, [rcx+rsi*4] ",xcode,1
"movsxd rsi, [rbp+var_10]  | * | mov [rbp+var_14], edx ",xcode,1
"add edx, [rcx+rsi*4]  | * | mov edx, [rbp+var_8] ",xcode,1
"mov [rbp+var_14], edx  | * | movsxd rcx, [rbp+var_10] ",xcode,1
"mov edx, [rbp+var_8]  | * | add edx, [rax+rcx*4] ",xcode,1
"movsxd rcx, [rbp+var_10]  | * | mov [rbp+var_18], edx ",xcode,1
"add edx, [rax+rcx*4]  | * | cmp [rbp+var_14], 0 ",xcode,1
"mov [rbp+var_18], edx  | * | jl loc_100000DC2 ",xcode,1
"cmp [rbp+var_14], 0  | * | cmp [rbp+var_18], 0 ",xcode,1
jl loc_100000DC2  | * | jl loc_100000DC2 ,xcode,1
"cmp [rbp+var_18], 0  | * | mov eax, [rbp+var_14] ",xcode,1
"jl loc_100000DC2  | * | mov ecx, cs:_n ",xcode,1
"mov eax, [rbp+var_14]  | * | shl ecx, 1 ",xcode,1
"mov ecx, cs:_n  | * | cmp eax, ecx ",xcode,6
"shl ecx, 1  | * | jg loc_100000DC2 ",xcode,2
"cmp eax, ecx  | * | mov eax, [rbp+var_18] ",xcode,1
"jg loc_100000DC2  | * | mov ecx, cs:_n ",xcode,1
"mov eax, [rbp+var_18]  | * | shl ecx, 1 ",xcode,1
"cmp eax, ecx  | * | lea rax, _use ",xcode,1
"jg loc_100000DC2  | * | movsxd rcx, [rbp+var_18] ",xcode,1
"lea rax, _use  | * | movsxd rdx, [rbp+var_14] ",xcode,1
"movsxd rcx, [rbp+var_18]  | * | imul rdx, 5DC4h ",xcode,2
"movsxd rdx, [rbp+var_14]  | * | add rax, rdx ",xcode,2
"imul rdx, 5DC4h  | * | mov esi, [rax+rcx*4] ",xcode,6
"add rax, rdx  | * | cmp esi, cs:_ct ",xcode,6
"mov esi, [rax+rcx*4]  | * | jz loc_100000DC2 ",xcode,2
"cmp esi, cs:_ct  | * | lea rax, _was ",xcode,1
"jz loc_100000DC2  | * | movsxd rcx, [rbp+var_18] ",xcode,1
"lea rax, _was  | * | movsxd rdx, [rbp+var_14] ",xcode,1
"cmp esi, cs:_ct  | * | mov edi, [rbp+var_14]  ",xcode,1
"jz loc_100000DC2  | * | mov esi, [rbp+var_18]  ",xcode,1
"mov edi, [rbp+var_14]   | * | mov edx, [rbp+var_C]  ",xcode,1
"mov esi, [rbp+var_18]   | * | call __Z2goiii  ",xcode,1
"mov edx, [rbp+var_C]   | * | mov [rbp+var_1C], eax ",xcode,1
call __Z2goiii   | * | loc_100000DC2:  ,xcode,1
"mov [rbp+var_1C], eax  | * | jmp $+5 ",xcode,1
loc_100000DC2:   | * | loc_100000DC7:  ,xcode,1
"jmp $+5  | * | mov eax, [rbp+var_10] ",xcode,1
"loc_100000DC7:   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_10]  | * | mov [rbp+var_10], eax ",xcode,1
"add eax, 1  | * | jmp loc_100000CEA ",xcode,1
"mov [rbp+var_10], eax  | * | loc_100000DD7:  ",xcode,1
"jmp loc_100000CEA  | * | mov eax, 0 ",xcode,1
"loc_100000DD7:   | * | add rsp, 20h ",xcode,1
"mov eax, 0  | * | pop rbp ",xcode,1
"add rsp, 20h  | * | retn ",xcode,2
pop rbp  | * | __Z2goiii endp ,xcode,1
retn  | * | align 10h ,xcode,9
__Z2goiii endp  | * | public __Z2gpi ,xcode,1
align 10h  | * | __Z2gpi proc near  ,xcode,1
__Z2gpi proc near   | * | push rbp ,xcode,1
"push rbp  | * | sub rsp, 10h ",xcode,5
"mov rbp, rsp  | * | lea rax, _p ",xcode,1
"sub rsp, 10h  | * | mov [rbp+var_4], edi ",xcode,1
"lea rax, _p  | * | movsxd rcx, [rbp+var_4] ",xcode,1
"mov [rbp+var_4], edi  | * | mov edi, [rax+rcx*4] ",xcode,1
"movsxd rcx, [rbp+var_4]  | * | cmp edi, [rbp+var_4] ",xcode,1
"mov edi, [rax+rcx*4]  | * | jz loc_100000E33 ",xcode,1
"cmp edi, [rbp+var_4]  | * | lea rax, _p ",xcode,1
"jz loc_100000E33  | * | movsxd rcx, [rbp+var_4] ",xcode,1
