idiom,label,count
arg_0 = dword ptr 8  | * | arg_8 = dword ptr 10h ,data,1
"push ebp  | * | mov eax, [ebp+arg_0] ",msvc,1
"mov ebp, esp  | * | push edi ",msvc,1
"mov eax, [ebp+arg_0]  | * | mov edi, [ebp+arg_4] ",msvc,1
"push edi  | * | cmp eax, edi ",msvc,1
"mov edi, [ebp+arg_4]  | * | jz short loc_401037 ",msvc,1
"cmp eax, edi  | * | push ebx ",msvc,1
"jz short loc_401037  | * | mov ebx, [ebp+arg_8] ",msvc,1
push ebx  | * | push esi ,msvc,2
"mov ebx, [ebp+arg_8]  | * | loc_401013:  ",msvc,1
"push esi  | * | mov esi, eax ",msvc,1
"loc_401013:   | * | cmp eax, edi ",msvc,1
"mov esi, eax  | * | jge short loc_40102E ",msvc,1
"cmp eax, edi  | * | lea esp, [esp+0] ",msvc,1
jge short loc_40102E  | * | loc_401020:  ,msvc,1
"lea esp, [esp+0]  | * | cmp dword_4DA100[esi*4], edi ",msvc,1
loc_401020:   | * | jz short loc_40103A ,msvc,1
"cmp dword_4DA100[esi*4], edi  | * | inc esi ",msvc,1
"jz short loc_40103A  | * | cmp esi, edi ",msvc,1
inc esi  | * | jl short loc_401020 ,msvc,1
"cmp esi, edi  | * | loc_40102E:  ",msvc,1
jl short loc_401020  | * | pop esi ,msvc,1
"loc_40102E:   | * | mov byte_40337C, 0 ",msvc,1
pop esi  | * | pop ebx ,msvc,2
"mov byte_40337C, 0  | * | loc_401037:  ",msvc,1
pop ebx  | * | pop edi ,msvc,1
loc_401037:   | * | pop ebp ,msvc,1
pop edi  | * | retn ,msvc,4
pop ebp  | * | loc_40103A:  ,msvc,1
"retn  | * | cmp esi, 0FFFFFFFFh ",msvc,1
loc_40103A:   | * | jz short loc_40102E ,msvc,1
"cmp esi, 0FFFFFFFFh  | * | mov edx, dword_46EA40[edi*4] ",msvc,1
"jz short loc_40102E  | * | mov ecx, edi ",msvc,1
"mov edx, dword_46EA40[edi*4]  | * | sub ecx, esi ",msvc,1
"mov ecx, edi  | * | imul ecx, ebx ",msvc,1
"sub ecx, esi  | * | inc ebx ",msvc,1
"imul ecx, ebx  | * | push ebx ",msvc,1
"inc ebx  | * | sub edx, ecx ",msvc,1
"sub edx, ecx  | * | push eax ",msvc,1
"push esi  | * | mov dword_46EA40[esi*4], edx ",msvc,1
push eax  | * | call sub_401000 ,msvc,1
"mov dword_46EA40[esi*4], edx  | * | lea eax, [esi+1] ",msvc,1
"call sub_401000  | * | add esp, 0Ch ",msvc,1
"lea eax, [esi+1]  | * | cmp eax, edi ",msvc,1
"add esp, 0Ch  | * | jnz short loc_401013 ",msvc,1
"cmp eax, edi  | * | pop esi ",msvc,1
jnz short loc_401013  | * | pop ebx ,msvc,1
pop esi  | * | pop edi ,msvc,1
pop ebx  | * | pop ebp ,msvc,4
pop ebp  | * | sub_401000 endp ,msvc,1
retn  | * | align 10h ,msvc,4
sub_401000 endp  | * | sub_401070 proc near  ,msvc,1
var_14 = dword ptr -14h  | * | var_C = dword ptr -0Ch ,data,2
var_10 = dword ptr -10h  | * | var_8 = dword ptr -8 ,data,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,1
"push ebp  | * | sub esp, 14h ",msvc,1
"mov ebp, esp  | * | push ebx ",msvc,1
"sub esp, 14h  | * | push esi ",msvc,2
"push ebx  | * | mov esi, dword_403378 ",msvc,1
"push esi  | * | lea eax, [esi-1] ",msvc,1
"mov esi, dword_403378  | * | push edi ",msvc,1
"lea eax, [esi-1]  | * | test eax, eax ",msvc,1
push edi  | * | jle loc_401109 ,msvc,1
"test eax, eax  | * | mov ecx, 1 ",msvc,1
"jle loc_401109  | * | xor edi, edi ",msvc,1
"mov ecx, 1  | * | mov [ebp+var_C], ecx ",msvc,1
"xor edi, edi  | * | loc_401094:  ",msvc,1
"mov [ebp+var_C], ecx  | * | mov edx, ecx ",msvc,1
"loc_401094:   | * | cmp ecx, esi ",msvc,1
"mov edx, ecx  | * | jge short loc_4010F8 ",msvc,1
"cmp ecx, esi  | * | mov [ebp+var_8], 1 ",msvc,1
jge short loc_4010F8  | * | loc_4010A1:  ,msvc,1
"mov [ebp+var_8], 1  | * | mov [ebp+var_4], 1 ",msvc,1
loc_4010A1:   | * | loc_4010A8:  ,msvc,1
"mov [ebp+var_4], 1  | * | cmp ecx, edx ",msvc,1
loc_4010A8:   | * | jz short loc_4010DF ,msvc,1
"cmp ecx, edx  | * | mov eax, dword_46EA40[edi] ",msvc,1
jz short loc_4010DF  | * | fild dword_46EA40[ecx*4] ,msvc,1
"mov eax, dword_46EA40[edi]  | * | mov ebx, dword_46EA40[edx*4] ",msvc,1
"fild dword_46EA40[ecx*4]  | * | sub ebx, eax ",msvc,1
"mov ebx, dword_46EA40[edx*4]  | * | mov [ebp+var_10], ebx ",msvc,1
"sub ebx, eax  | * | fild [ebp+var_10] ",msvc,1
"mov [ebp+var_10], ebx  | * | mov [ebp+var_14], eax ",msvc,1
fild [ebp+var_10]  | * | fild [ebp+var_4] ,msvc,1
"mov [ebp+var_14], eax  | * | fidiv [ebp+var_8] ",msvc,1
"fild [ebp+var_4]  | * | fmulp st(1), st ",msvc,1
fidiv [ebp+var_8]  | * | fiadd [ebp+var_14] ,msvc,1
"fmulp st(1), st  | * | fcompp ",msvc,1
fiadd [ebp+var_14]  | * | fnstsw ax ,msvc,1
"fcompp  | * | test ah, 5 ",msvc,1
fnstsw ax  | * | jnp short loc_4010ED ,msvc,1
"test ah, 5  | * | loc_4010DF:  ",msvc,1
jnp short loc_4010ED  | * | inc [ebp+var_4] ,msvc,1
loc_4010DF:   | * | inc ecx ,msvc,1
"inc [ebp+var_4]  | * | cmp ecx, esi ",msvc,1
inc ecx  | * | jl short loc_4010A8 ,msvc,1
"cmp ecx, esi  | * | mov dword_403380[edi], edx ",msvc,1
jl short loc_4010A8  | * | loc_4010ED:  ,msvc,1
