idiom,label,count
"push rbp  | * | mov al, dil ",xcode,1
"mov rbp, rsp  | * | mov [rbp+var_5], al ",xcode,1
"mov al, dil  | * | movsx edi, [rbp+var_5] ",xcode,1
"mov [rbp+var_5], al  | * | cmp edi, 6Fh  ",xcode,1
"movsx edi, [rbp+var_5]  | * | jnz loc_1000011E6 ",xcode,1
"cmp edi, 6Fh   | * | mov [rbp+var_4], 0 ",xcode,1
jnz loc_1000011E6  | * | jmp loc_1000012AA ,xcode,1
"mov [rbp+var_4], 0  | * | loc_1000011E6:  ",xcode,1
"jmp loc_1000012AA  | * | movsx eax, [rbp+var_5] ",xcode,7
"loc_1000011E6:   | * | cmp eax, 69h  ",xcode,1
"movsx eax, [rbp+var_5]  | * | jnz loc_100001201 ",xcode,1
"cmp eax, 69h   | * | mov [rbp+var_4], 1 ",xcode,1
jnz loc_100001201  | * | jmp loc_1000012AA ,xcode,1
"mov [rbp+var_4], 1  | * | loc_100001201:  ",xcode,1
"loc_100001201:   | * | cmp eax, 65h  ",xcode,1
"movsx eax, [rbp+var_5]  | * | jnz loc_10000121C ",xcode,1
"cmp eax, 65h   | * | mov [rbp+var_4], 2 ",xcode,1
jnz loc_10000121C  | * | jmp loc_1000012AA ,xcode,1
"mov [rbp+var_4], 2  | * | loc_10000121C:  ",xcode,1
"loc_10000121C:   | * | cmp eax, 61h  ",xcode,1
"movsx eax, [rbp+var_5]  | * | jnz loc_100001237 ",xcode,1
"cmp eax, 61h   | * | mov [rbp+var_4], 3 ",xcode,1
jnz loc_100001237  | * | jmp loc_1000012AA ,xcode,1
"mov [rbp+var_4], 3  | * | loc_100001237:  ",xcode,1
"loc_100001237:   | * | cmp eax, 73h  ",xcode,1
"movsx eax, [rbp+var_5]  | * | jnz loc_100001252 ",xcode,1
"cmp eax, 73h   | * | mov [rbp+var_4], 4 ",xcode,1
jnz loc_100001252  | * | jmp loc_1000012AA ,xcode,1
"mov [rbp+var_4], 4  | * | loc_100001252:  ",xcode,1
"loc_100001252:   | * | cmp eax, 74h  ",xcode,1
"movsx eax, [rbp+var_5]  | * | jnz loc_10000126D ",xcode,1
"cmp eax, 74h   | * | mov [rbp+var_4], 5 ",xcode,1
jnz loc_10000126D  | * | jmp loc_1000012AA ,xcode,1
"mov [rbp+var_4], 5  | * | loc_10000126D:  ",xcode,1
"loc_10000126D:   | * | cmp eax, 62h  ",xcode,1
"movsx eax, [rbp+var_5]  | * | jnz loc_100001288 ",xcode,1
"cmp eax, 62h   | * | mov [rbp+var_4], 6 ",xcode,1
jnz loc_100001288  | * | jmp loc_1000012AA ,xcode,1
"mov [rbp+var_4], 6  | * | loc_100001288:  ",xcode,1
"loc_100001288:   | * | cmp eax, 67h  ",xcode,1
"movsx eax, [rbp+var_5]  | * | jnz loc_1000012A3 ",xcode,1
"cmp eax, 67h   | * | mov [rbp+var_4], 7 ",xcode,1
jnz loc_1000012A3  | * | jmp loc_1000012AA ,xcode,1
"mov [rbp+var_4], 7  | * | loc_1000012A3:  ",xcode,1
"jmp loc_1000012AA  | * | mov [rbp+var_4], 0FFFFFFFFh ",xcode,1
loc_1000012A3:   | * | loc_1000012AA:  ,xcode,1
"mov [rbp+var_4], 0FFFFFFFFh  | * | mov eax, [rbp+var_4] ",xcode,1
loc_1000012AA:   | * | pop rbp ,xcode,1
"mov eax, [rbp+var_4]  | * | retn ",xcode,1
pop rbp  | * | __Z3getc endp ,xcode,1
retn  | * | align 10h ,xcode,6
__Z3getc endp  | * | public __Z2goi ,xcode,1
align 10h  | * | __Z2goi proc near  ,xcode,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,1
"push rbp  | * | sub rsp, 10h ",xcode,5
"mov rbp, rsp  | * | lea rax, _was ",xcode,1
"sub rsp, 10h  | * | mov [rbp+var_4], edi ",xcode,1
