idiom,label,count
var_18 = dword ptr -18h  | * | var_C = dword ptr -0Ch ,data,1
var_14 = dword ptr -14h  | * | var_8 = dword ptr -8 ,data,1
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,2
"push ebp  | * | sub esp, 1Ch ",msvc,1
"mov ebp, esp  | * | push ebx ",msvc,2
"sub esp, 1Ch  | * | push esi ",msvc,1
push ebx  | * | push edi ,msvc,2
"push esi  | * | mov edi, dword_403374 ",msvc,1
"push edi  | * | or esi, 0FFFFFFFFh ",msvc,1
"mov edi, dword_403374  | * | xor ebx, ebx ",msvc,1
"or esi, 0FFFFFFFFh  | * | mov ecx, edi ",msvc,1
"xor ebx, ebx  | * | mov [ebp+var_8], esi ",msvc,1
"mov ecx, edi  | * | cmp edi, ebx ",msvc,1
"mov [ebp+var_8], esi  | * | jz short loc_401037 ",msvc,1
"cmp edi, ebx  | * | lea ecx, [ecx+0] ",msvc,1
jz short loc_401037  | * | loc_401020:  ,msvc,1
"lea ecx, [ecx+0]  | * | mov eax, 66666667h ",msvc,1
loc_401020:   | * | imul ecx ,msvc,1
"mov eax, 66666667h  | * | sar edx, 2 ",msvc,2
"imul ecx  | * | mov ecx, edx ",msvc,1
"sar edx, 2  | * | shr ecx, 1Fh ",msvc,1
"mov ecx, edx  | * | inc esi ",msvc,1
"shr ecx, 1Fh  | * | add ecx, edx ",msvc,1
inc esi  | * | jnz short loc_401020 ,msvc,1
"add ecx, edx  | * | mov [ebp+var_8], esi ",msvc,1
jnz short loc_401020  | * | loc_401037:  ,msvc,1
"mov [ebp+var_8], esi  | * | mov ecx, 1 ",msvc,1
"loc_401037:   | * | mov [ebp+var_4], ecx ",msvc,1
"mov ecx, 1  | * | cmp esi, ebx ",msvc,1
"mov [ebp+var_4], ecx  | * | jle short loc_401055 ",msvc,1
"cmp esi, ebx  | * | mov eax, esi ",msvc,1
jle short loc_401055  | * | jmp short loc_40104A ,msvc,1
"mov eax, esi  | * | loc_401047:  ",msvc,1
"jmp short loc_40104A  | * | mov ecx, [ebp+var_4] ",msvc,1
loc_401047:   | * | loc_40104A:  ,msvc,1
"mov ecx, [ebp+var_4]  | * | lea ecx, [ecx+ecx*4] ",msvc,1
"loc_40104A:   | * | add ecx, ecx ",msvc,1
"lea ecx, [ecx+ecx*4]  | * | dec eax ",msvc,1
"add ecx, ecx  | * | mov [ebp+var_4], ecx ",msvc,1
dec eax  | * | jnz short loc_401047 ,msvc,1
"mov [ebp+var_4], ecx  | * | loc_401055:  ",msvc,1
jnz short loc_401047  | * | push offset unk_68E7780  ,msvc,1
loc_401055:   | * | push ebx  ,msvc,1
push offset unk_68E7780   | * | push offset byte_403530  ,msvc,1
push ebx   | * | call memset ,msvc,1
"push offset byte_403530   | * | mov [ebp+var_18], ebx ",msvc,1
"call memset  | * | mov [ebp+var_14], ebx ",msvc,1
"mov [ebp+var_18], ebx  | * | mov ebx, dword_403370 ",msvc,1
"mov [ebp+var_14], ebx  | * | mov ecx, edi ",msvc,1
"mov ebx, dword_403370  | * | add esp, 0Ch ",msvc,1
"mov ecx, edi  | * | mov [ebp+var_C], ecx ",msvc,1
"add esp, 0Ch  | * | cmp ecx, ebx ",msvc,1
"mov [ebp+var_C], ecx  | * | jg loc_40117D ",msvc,1
"cmp ecx, ebx  | * | loc_401081:  ",msvc,1
"jg loc_40117D  | * | cmp byte_403530[ecx], 0 ",msvc,1
loc_401081:   | * | jnz loc_401171 ,msvc,1
"cmp byte_403530[ecx], 0  | * | lea eax, [esi+1] ",msvc,1
"jnz loc_401171  | * | xor edi, edi ",msvc,1
"lea eax, [esi+1]  | * | test eax, eax ",msvc,1
"xor edi, edi  | * | jle short loc_4010E1 ",msvc,1
"test eax, eax  | * | mov esi, eax ",msvc,1
"jle short loc_4010E1  | * | lea esp, [esp+0] ",msvc,1
"mov esi, eax  | * | loc_4010A0:  ",msvc,1
"lea esp, [esp+0]  | * | mov byte_403530[ecx], 1 ",msvc,1
"loc_4010A0:   | * | cmp ecx, [ebp+var_4] ",msvc,1
"mov byte_403530[ecx], 1  | * | jl short loc_4010C0 ",msvc,1
"cmp ecx, [ebp+var_4]  | * | cmp dword_403374, ecx ",msvc,1
jl short loc_4010C0  | * | jg short loc_4010C0 ,msvc,1
"cmp dword_403374, ecx  | * | cmp ecx, ebx ",msvc,1
jg short loc_4010C0  | * | jg short loc_4010C0 ,msvc,1
"cmp ecx, ebx  | * | mov dword_403378[edi*4], ecx ",msvc,1
jg short loc_4010C0  | * | inc edi ,msvc,1
"mov dword_403378[edi*4], ecx  | * | loc_4010C0:  ",msvc,1
"inc edi  | * | mov eax, 66666667h ",msvc,1
loc_4010C0:   | * | imul ecx ,msvc,1
"imul ecx  | * | mov eax, edx ",msvc,1
"sar edx, 2  | * | shr eax, 1Fh ",msvc,1
"mov eax, edx  | * | add eax, edx ",msvc,1
