idiom,label,count
var_A = byte ptr -0Ah  | * | var_8 = dword ptr -8 ,data,1
var_9 = byte ptr -9  | * | var_4 = dword ptr -4 ,data,1
"push rbp  | * | mov al, 1 ",xcode,1
"mov rbp, rsp  | * | lea rcx, _x ",xcode,1
"mov al, 1  | * | mov edx, 64h  ",xcode,1
"lea rcx, _x  | * | lea r8, _y ",xcode,1
"mov edx, 64h   | * | mov [rbp+var_4], edi ",xcode,1
"lea r8, _y  | * | mov [rbp+var_8], esi ",xcode,1
"mov [rbp+var_4], edi  | * | movsxd r9, [rbp+var_4] ",xcode,1
"mov [rbp+var_8], esi  | * | imul esi, [rcx+r9*4], 64h  ",xcode,1
"movsxd r9, [rbp+var_4]  | * | movsxd r9, [rbp+var_4] ",xcode,1
"imul esi, [rcx+r9*4], 64h   | * | mov edi, edx ",xcode,1
"movsxd r9, [rbp+var_4]  | * | sub edi, [r8+r9*4] ",xcode,1
"mov edi, edx  | * | movsxd r9, [rbp+var_8] ",xcode,1
"sub edi, [r8+r9*4]  | * | imul edi, [rcx+r9*4] ",xcode,1
"movsxd r9, [rbp+var_8]  | * | add esi, edi ",xcode,1
"imul edi, [rcx+r9*4]  | * | movsxd r9, [rbp+var_8] ",xcode,1
"add esi, edi  | * | imul edi, [rcx+r9*4], 64h  ",xcode,1
"movsxd r9, [rbp+var_8]  | * | movsxd r9, [rbp+var_8] ",xcode,1
"imul edi, [rcx+r9*4], 64h   | * | sub edx, [r8+r9*4] ",xcode,1
"movsxd r9, [rbp+var_8]  | * | movsxd r8, [rbp+var_4] ",xcode,1
"sub edx, [r8+r9*4]  | * | imul edx, [rcx+r8*4] ",xcode,1
"movsxd r8, [rbp+var_4]  | * | add edi, edx ",xcode,1
"imul edx, [rcx+r8*4]  | * | cmp esi, edi ",xcode,1
"add edi, edx  | * | mov [rbp+var_9], al ",xcode,1
"cmp esi, edi  | * | jl loc_10000095E ",xcode,1
"mov [rbp+var_9], al  | * | mov al, 0 ",xcode,1
"jl loc_10000095E  | * | lea rcx, _x ",xcode,1
"mov al, 0  | * | mov edx, 64h  ",xcode,1
"lea rcx, _x  | * | lea rsi, _y ",xcode,1
"mov edx, 64h   | * | movsxd rdi, [rbp+var_4] ",xcode,1
"lea rsi, _y  | * | imul r8d, [rcx+rdi*4], 64h  ",xcode,1
"movsxd rdi, [rbp+var_4]  | * | movsxd rdi, [rbp+var_4] ",xcode,1
"imul r8d, [rcx+rdi*4], 64h   | * | mov r9d, edx ",xcode,1
"movsxd rdi, [rbp+var_4]  | * | sub r9d, [rsi+rdi*4] ",xcode,1
"mov r9d, edx  | * | movsxd rdi, [rbp+var_8] ",xcode,1
"sub r9d, [rsi+rdi*4]  | * | imul r9d, [rcx+rdi*4] ",xcode,1
"movsxd rdi, [rbp+var_8]  | * | add r8d, r9d ",xcode,1
"imul r9d, [rcx+rdi*4]  | * | movsxd rdi, [rbp+var_8] ",xcode,1
"add r8d, r9d  | * | imul r9d, [rcx+rdi*4], 64h  ",xcode,1
"movsxd rdi, [rbp+var_8]  | * | movsxd rdi, [rbp+var_8] ",xcode,1
"imul r9d, [rcx+rdi*4], 64h   | * | sub edx, [rsi+rdi*4] ",xcode,1
"movsxd rdi, [rbp+var_8]  | * | movsxd rsi, [rbp+var_4] ",xcode,1
"sub edx, [rsi+rdi*4]  | * | imul edx, [rcx+rsi*4] ",xcode,1
"movsxd rsi, [rbp+var_4]  | * | add r9d, edx ",xcode,1
"imul edx, [rcx+rsi*4]  | * | cmp r8d, r9d ",xcode,1
"add r9d, edx  | * | mov [rbp+var_A], al ",xcode,1
"cmp r8d, r9d  | * | jnz loc_100000958 ",xcode,1
"mov [rbp+var_A], al  | * | mov eax, [rbp+var_4] ",xcode,1
"jnz loc_100000958  | * | cmp eax, [rbp+var_8] ",xcode,1
"mov eax, [rbp+var_4]  | * | setl cl ",xcode,1
"cmp eax, [rbp+var_8]  | * | mov [rbp+var_A], cl ",xcode,1
setl cl  | * | loc_100000958:  ,xcode,1
"mov [rbp+var_A], cl  | * | mov al, [rbp+var_A] ",xcode,1
"loc_100000958:   | * | mov [rbp+var_9], al ",xcode,1
"mov al, [rbp+var_A]  | * | loc_10000095E:  ",xcode,1
"mov [rbp+var_9], al  | * | mov al, [rbp+var_9] ",xcode,1
"loc_10000095E:   | * | and al, 1 ",xcode,1
"mov al, [rbp+var_9]  | * | movzx eax, al ",xcode,1
"and al, 1  | * | pop rbp ",xcode,1
"movzx eax, al  | * | retn ",xcode,1
pop rbp  | * | __Z2l1ii endp ,xcode,1
retn  | * | align 10h ,xcode,11
__Z2l1ii endp  | * | public _main ,xcode,1
align 10h  | * | _main proc near ,xcode,1
var_498 = qword ptr -498h  | * | var_48C = dword ptr -48Ch ,data,1
var_490 = dword ptr -490h  | * | var_488 = qword ptr -488h ,data,1
var_48C = dword ptr -48Ch  | * | var_480 = qword ptr -480h ,data,1
var_488 = qword ptr -488h  | * | var_478 = qword ptr -478h ,data,1
var_480 = qword ptr -480h  | * | var_470 = qword ptr -470h ,data,1
var_478 = qword ptr -478h  | * | var_468 = qword ptr -468h ,data,1
var_470 = qword ptr -470h  | * | var_460 = qword ptr -460h ,data,1
var_468 = qword ptr -468h  | * | var_458 = qword ptr -458h ,data,1
var_460 = qword ptr -460h  | * | var_44C = dword ptr -44Ch ,data,1
var_458 = qword ptr -458h  | * | var_448 = qword ptr -448h ,data,1
var_44C = dword ptr -44Ch  | * | var_440 = qword ptr -440h ,data,1
var_448 = qword ptr -448h  | * | var_438 = qword ptr -438h ,data,1
var_440 = qword ptr -440h  | * | var_430 = qword ptr -430h ,data,1
var_438 = qword ptr -438h  | * | var_428 = dword ptr -428h ,data,1
var_430 = qword ptr -430h  | * | var_424 = dword ptr -424h ,data,1
var_428 = dword ptr -428h  | * | var_420 = qword ptr -420h ,data,1
var_424 = dword ptr -424h  | * | var_418 = dword ptr -418h ,data,1
var_420 = qword ptr -420h  | * | var_414 = dword ptr -414h ,data,1
var_418 = dword ptr -418h  | * | var_410 = qword ptr -410h ,data,1
var_414 = dword ptr -414h  | * | var_408 = qword ptr -408h ,data,1
var_410 = qword ptr -410h  | * | var_400 = qword ptr -400h ,data,1
var_408 = qword ptr -408h  | * | var_3F8 = qword ptr -3F8h ,data,1
var_400 = qword ptr -400h  | * | var_3F0 = dword ptr -3F0h ,data,1
var_3F8 = qword ptr -3F8h  | * | var_3EC = dword ptr -3ECh ,data,1
var_3F0 = dword ptr -3F0h  | * | var_3E8 = dword ptr -3E8h ,data,1
var_3EC = dword ptr -3ECh  | * | var_3E4 = dword ptr -3E4h ,data,1
var_3E8 = dword ptr -3E8h  | * | var_3E0 = dword ptr -3E0h ,data,1
var_3E4 = dword ptr -3E4h  | * | var_3D0 = qword ptr -3D0h ,data,1
var_3E0 = dword ptr -3E0h  | * | var_3C8 = qword ptr -3C8h ,data,1
var_3D0 = qword ptr -3D0h  | * | var_3B0 = qword ptr -3B0h ,data,1
var_3C8 = qword ptr -3C8h  | * | var_3A8 = qword ptr -3A8h ,data,1
var_3B0 = qword ptr -3B0h  | * | var_3A0 = qword ptr -3A0h ,data,1
var_3A8 = qword ptr -3A8h  | * | var_398 = qword ptr -398h ,data,1
var_3A0 = qword ptr -3A0h  | * | var_390 = qword ptr -390h ,data,1
var_398 = qword ptr -398h  | * | var_378 = qword ptr -378h ,data,1
var_390 = qword ptr -390h  | * | var_370 = qword ptr -370h ,data,1
var_378 = qword ptr -378h  | * | var_368 = qword ptr -368h ,data,1
var_370 = qword ptr -370h  | * | var_360 = qword ptr -360h ,data,1
var_368 = qword ptr -368h  | * | var_358 = qword ptr -358h ,data,1
var_360 = qword ptr -360h  | * | var_350 = qword ptr -350h ,data,1
var_358 = qword ptr -358h  | * | var_348 = qword ptr -348h ,data,1
var_350 = qword ptr -350h  | * | var_340 = qword ptr -340h ,data,1
var_348 = qword ptr -348h  | * | var_328 = qword ptr -328h ,data,1
var_340 = qword ptr -340h  | * | var_320 = qword ptr -320h ,data,1
var_328 = qword ptr -328h  | * | var_308 = qword ptr -308h ,data,1
var_320 = qword ptr -320h  | * | var_300 = qword ptr -300h ,data,1
var_308 = qword ptr -308h  | * | var_2F8 = qword ptr -2F8h ,data,1
var_300 = qword ptr -300h  | * | var_2F0 = qword ptr -2F0h ,data,1
