idiom,label,count
var_EC = dword ptr -0ECh  | * | var_E0 = dword ptr -0E0h ,data,1
var_E8 = qword ptr -0E8h  | * | var_DC = dword ptr -0DCh ,data,1
var_E0 = dword ptr -0E0h  | * | var_D8 = qword ptr -0D8h ,data,1
var_DC = dword ptr -0DCh  | * | var_CC = dword ptr -0CCh ,data,1
var_D8 = qword ptr -0D8h  | * | var_C8 = dword ptr -0C8h ,data,1
var_CC = dword ptr -0CCh  | * | var_C4 = dword ptr -0C4h ,data,1
var_C8 = dword ptr -0C8h  | * | var_C0 = dword ptr -0C0h ,data,1
var_C4 = dword ptr -0C4h  | * | var_BC = dword ptr -0BCh ,data,1
var_C0 = dword ptr -0C0h  | * | var_B8 = dword ptr -0B8h ,data,1
var_BC = dword ptr -0BCh  | * | var_B4 = dword ptr -0B4h ,data,1
var_B8 = dword ptr -0B8h  | * | var_B0 = dword ptr -0B0h ,data,1
var_B4 = dword ptr -0B4h  | * | var_AC = dword ptr -0ACh ,data,1
var_B0 = dword ptr -0B0h  | * | var_A8 = dword ptr -0A8h ,data,1
var_AC = dword ptr -0ACh  | * | var_A4 = dword ptr -0A4h ,data,1
var_A8 = dword ptr -0A8h  | * | var_A0 = dword ptr -0A0h ,data,1
var_A4 = dword ptr -0A4h  | * | var_9C = dword ptr -9Ch ,data,1
var_A0 = dword ptr -0A0h  | * | var_98 = dword ptr -98h ,data,1
var_9C = dword ptr -9Ch  | * | var_94 = dword ptr -94h ,data,1
var_98 = dword ptr -98h  | * | var_88 = qword ptr -88h ,data,1
var_94 = dword ptr -94h  | * | var_80 = qword ptr -80h ,data,1
var_88 = qword ptr -88h  | * | var_78 = byte ptr -78h ,data,1
var_80 = qword ptr -80h  | * | var_70 = qword ptr -70h ,data,1
var_78 = byte ptr -78h  | * | var_68 = qword ptr -68h ,data,1
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,1
var_68 = qword ptr -68h  | * | var_58 = qword ptr -58h ,data,1
var_60 = qword ptr -60h  | * | var_50 = qword ptr -50h ,data,1
var_58 = qword ptr -58h  | * | var_40 = qword ptr -40h ,data,1
var_50 = qword ptr -50h  | * | var_38 = qword ptr -38h ,data,1
var_40 = qword ptr -40h  | * | var_30 = byte ptr -30h ,data,1
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,1
var_30 = byte ptr -30h  | * | var_20 = qword ptr -20h ,data,1
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,1
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,1
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,1
"push rbp  | * | sub rsp, 0F0h ",xcode,1
"mov rbp, rsp  | * | lea rdi, aD  ",xcode,1
"sub rsp, 0F0h  | * | lea rsi, [rbp+var_98] ",xcode,1
"lea rdi, aD   | * | mov [rbp+var_94], 0 ",xcode,1
"lea rsi, [rbp+var_98]  | * | mov al, 0 ",xcode,1
"mov [rbp+var_94], 0  | * | call _scanf ",xcode,1
